id;name;classification;description;installed_on;uninstall_date;active;deactivate;auto_registered;approved
1;Latin Bedfordshire;Bicycle RAM;Organized Transexual synergize;2023-06-25T22:22:37;2023-06-26T02:40:46;true;false;true;false
2;Ford;connect Mozambique;invoice;2023-06-25T21:09:35;2023-06-26T01:08:18;false;true;true;true
3;maximized;honestly;Garden Beauty;2023-06-25T20:21:16;2023-06-26T01:34:51;true;true;false;true
4;sexy haptic base;Audi Technician;Bicycle Dale Tantalum;2023-06-26T11:58:44;2023-06-26T08:13:45;false;true;false;true
5;Ergonomic;Passenger;cavort yellow;2023-06-26T08:44:42;2023-06-25T16:52:35;false;true;true;true
6;Metal parsing into;Oklahoma;thoroughly;2023-06-25T21:39:35;2023-06-26T01:35:00;true;false;true;true
7;Steel Wagon;Hyundai;Manager;2023-06-25T23:02:15;2023-06-25T19:36:50;false;true;false;true
8;West Dakota nonconforming;West different Iceland;paradigms gleefully degree;2023-06-26T03:50:32;2023-06-26T04:26:14;false;true;false;true
9;PCI Kansas;Frozen salmon backpack;Jevon Chief hertz;2023-06-25T19:28:26;2023-06-26T13:01:15;false;false;false;false
10;Polestar;Home female;Analyst;2023-06-26T00:12:10;2023-06-26T09:14:20;false;false;true;true
