id;command;implant_task_id;submitted_by;description;added;updated;retrieved;failure;approved
1;Other;57083;knavishly;plait Southwest deposit;2023-06-26T09:56:14;2023-06-25T20:14:39;false;true;false
2;mmm port badly;69909;Account busily Fantastic;turquoise yellow Yttrium;2023-06-25T20:40:26;2023-06-25T17:20:02;true;false;true
3;Shoes minus;75046;experiences Trans West;complexity necessary granular;2023-06-26T10:45:19;2023-06-26T14:40:29;false;true;false
4;about indeed;76710;Northwest Buckinghamshire killer;consectetur corner Market;2023-06-26T03:19:06;2023-06-26T10:40:52;true;false;false
5;orchid;98486;translation panel;Cambridgeshire West;2023-06-26T09:29:32;2023-06-26T08:06:18;true;false;true
6;meter;17774;Representative;robust Checking 1080p;2023-06-26T12:04:27;2023-06-26T13:40:19;false;true;false
7;grow Human Northeast;85930;Northeast given;Dollar Soft;2023-06-25T19:07:01;2023-06-25T15:17:17;true;true;true
8;moratorium;86540;Hatchback;magenta intimidate Car;2023-06-26T11:11:38;2023-06-25T20:08:15;false;true;false
9;Practical Gasoline Infrastructure;10031;Shoes;Lacy for;2023-06-26T06:51:23;2023-06-26T14:04:01;true;true;true
10;urgently;24846;Bedfordshire West;Volvo;2023-06-26T01:04:19;2023-06-25T15:32:49;true;true;true
